Release.Date,Movie,Production.Budget,Domestic.Gross,Worldwide.Gross,Rate,Raters,Genres,imdbUrl,Directed.by,Produced.by,Written.by,Starring,Music.by,Cinematography,Edited.by,Production.company,Distributed.by,Release.date,Running.time,Country,Language,Budget,Box.office,wikiUrl,image,Screenplay.by,Story.by,Based.on,Production.companies
12/25/2009,It’s Complicated,"$85,000,000","$112,735,375","$224,614,744",6.6,"74,468",Comedy Drama Romance,http://www.imdb.com/title/tt1230414/,Nancy Meyers,"Nancy Meyers
Scott Rudin",Nancy Meyers,"Meryl Streep
Steve Martin
Alec Baldwin
John Krasinski","Hans Zimmer
Heitor Pereira",John Toll,"Joe Hutshing
David Moritz","Relativity Media
Waverly Films
Scott Rudin Productions
Dentsu",Universal Pictures,"December 25, 2009 (2009-12-25)",120 minutes,United States,English,$85 million[1][2],$219.1 million[3],https://en.wikipedia.org/wiki/It%27s_Complicated_(film),//upload.wikimedia.org/wikipedia/en/e/ee/Its_complicated_ver2.jpg,NA,NA,NA,NA
11/11/2011,Jack and Jill,"$79,000,000","$74,158,157","$150,519,217",3.4,"65,302",Comedy,http://www.imdb.com/title/tt0810913/,Dennis Dugan,"Todd Garner
Jack Giarraputo
Adam Sandler",NA,"Adam Sandler
Katie Holmes
Al Pacino","Rupert Gregson-Williams
Waddy Wachtel",Dean Cundey,Tom Costain,Happy Madison Productions,Columbia Pictures,"November 11, 2011 (2011-11-11)",91 minutes [1],United States,English,$79 million,$149.7 million,https://en.wikipedia.org/wiki/Jack_and_Jill_(2011_film),//upload.wikimedia.org/wikipedia/en/thumb/9/99/Jack_and_jill_film_poster.jpg/220px-Jack_and_jill_film_poster.jpg,"Steve Koren
Adam Sandler",Ben Zook,NA,NA
3/1/2013,Jack the Giant Slayer,"$195,000,000","$65,187,603","$197,687,603",6.3,"114,375",Adventure Fantasy,http://www.imdb.com/title/tt1351685/,Bryan Singer,"Neal H. Moritz
David Dobkin
Bryan Singer
Patrick McCormick
Ori Marmur",NA,"Nicholas Hoult
Eleanor Tomlinson
Stanley Tucci
Ian McShane
Bill Nighy
Ewan McGregor",John Ottman,Newton Thomas Sigel,"John Ottman
Bob Ducsay","New Line Cinema
Legendary Pictures
Original Film
Big Kid Pictures
Bad Hat Harry",Warner Bros. Pictures,"February 26, 2013 (2013-02-26) (Hollywood)
March 1, 2013 (2013-03-01) (United States)",114 minutes[1],United States,English,$195 million[2],$197.7 million[3],https://en.wikipedia.org/wiki/Jack_the_Giant_Slayer,//upload.wikimedia.org/wikipedia/en/thumb/b/b4/Jack_the_Giant_Slayer_poster.jpg/220px-Jack_the_Giant_Slayer_poster.jpg,"Darren Lemke
Christopher McQuarrie
Dan Studney","Darren Lemke
David Dobkin",NA,NA
7/29/2016,Jason Bourne,"$120,000,000","$162,192,920","$416,197,059",6.7,"165,565",Action Thriller,http://www.imdb.com/title/tt4196776/,Paul Greengrass,"Matt Damon
Paul Greengrass
Gregory Goodman
Frank Marshall
Jeffrey M. Weiner
Ben Smith","Paul Greengrass
Christopher Rouse","Matt Damon
Tommy Lee Jones
Alicia Vikander
Vincent Cassel
Julia Stiles
Riz Ahmed","John Powell
David Buckley",Barry Ackroyd,Christopher Rouse,NA,Universal Pictures,"July 11, 2016 (2016-07-11) (Odeon Leicester Square)
July 29, 2016 (2016-07-29) (United States)",123 minutes[1],United States,English,$120 million[2],$415.5 million[2],https://en.wikipedia.org/wiki/Jason_Bourne_%282016_film%29,//upload.wikimedia.org/wikipedia/en/b/b2/Jason_Bourne_%28film%29.jpg,NA,NA,"Characters
by Robert Ludlum","Perfect World Pictures
Kennedy/Marshall
Captivate Entertainment
Pearl Street"
1/20/2012,Jin líng shí san chai,"$100,000,000","$311,434","$98,227,017",7.6,"42,063",Drama History Romance War,http://www.imdb.com/title/tt1410063/,Zhang Yimou,"William Kong
David Linde
Zhang Weiping
Zhang YimouBrandt Andersen",NA,"Christian BaleNi Ni
Zhang XinyiTong DaweiAtsuro WatabeShigeo Kobayashi
Cao Kefan",Qigang Chen,Zhao Xiaoding,Peicong Meng,"EDKO Film
Beijing New Picture Film
New Picture Company","EDKO Film
Wrekin Hill Entertainment
Row 1 Productions","December 16, 2011 (2011-12-16) (China)






January 20, 2012 (2012-01-20) (U.S.)",146 minutes,"China
Hong Kong","Mandarin
English
Japanese",$94 million[1],"In China: $95,311,434[2][3]",https://en.wikipedia.org/wiki/Jin_ling_shi_san_chai,//upload.wikimedia.org/wikipedia/en/thumb/2/25/The_Flowers_of_War_english_poster.jpg/220px-The_Flowers_of_War_english_poster.jpg,Liu Heng,NA,"13 Flowers of Nanjing
by Geling Yan",NA
3/9/2012,John Carter,"$275,000,000","$73,058,679","$282,778,100",6.6,"225,046",Action Adventure Sci-Fi,http://www.imdb.com/title/tt0401729/,Andrew Stanton,"Jim Morris
Colin Wilson
Lindsey Collins",NA,"Taylor Kitsch
Lynn Collins
Samantha Morton
Mark Strong
Ciarán Hinds
Dominic West
James Purefoy
Willem Dafoe",Michael Giacchino,Dan Mindel,Eric Zumbrunnen,Walt Disney Pictures,"Walt Disney Studios
Motion Pictures","March 7, 2012 (2012-03-07) (France[1])
March 9, 2012 (2012-03-09) (United States)",132 minutes[2],United States,English,$250–306.6 million ($263.7 million after tax credit)[3],$284.1 million[4],https://en.wikipedia.org/wiki/John_Carter_%28film%29,//upload.wikimedia.org/wikipedia/en/thumb/a/aa/John_carter_poster.jpg/220px-John_carter_poster.jpg,"Andrew Stanton
Mark Andrews
Michael Chabon",NA,"A Princess of Mars
by Edgar Rice Burroughs",NA
2/10/2012,Journey 2: The Mysterious Island,"$79,000,000","$103,860,290","$318,146,162",5.8,"74,076",Action Adventure Comedy Family Fantasy Sci-Fi,http://www.imdb.com/title/tt1397514/,Brad Peyton,"Beau FlynnTripp Vinson
Charlotte Huggins",NA,Dwayne JohnsonMichael CaineJosh HutchersonVanessa HudgensLuis GuzmánKristin Davis,Andrew Lockington,David Tattersall,David Rennie,New Line CinemaWalden Media (uncredited)Contrafilm[1],Warner Bros. Pictures[1],"January 19, 2012 (2012-01-19) (Australia)
February 10, 2012 (2012-02-10) (United States)",94 minutes[2],United States,English,$79 million[3],$335.3 million[3],https://en.wikipedia.org/wiki/Journey_2:_The_Mysterious_Island,//upload.wikimedia.org/wikipedia/en/thumb/8/8e/Journey_2_Poster.jpg/220px-Journey_2_Poster.jpg,Brian GunnMark Gunn,"Richard Outten
Brian Gunn
Mark Gunn","The Mysterious Island
by Jules Verne",NA
6/30/1995,Judge Dredd,"$85,000,000","$34,687,912","$113,487,912",5.5,"95,481",Action Crime Sci-Fi Thriller,http://www.imdb.com/title/tt0113492/,Danny Cannon,"Edward R. Pressman
Charles Lippincott
Beau E. L. Marks",NA,"Sylvester Stallone
Armand Assante
Diane Lane
Rob Schneider
Joan Chen
Jürgen Prochnow
Max von Sydow",Alan Silvestri,Adrian Biddle,"Alex Mackie
Harry Keramidas",NA,Buena Vista Pictures,"June 30, 1995 (1995-06-30)[1]",96 minutes[2],United States,English,$90 million[3],$113.5 million[3],https://en.wikipedia.org/wiki/Judge_Dredd_(1995_film),//upload.wikimedia.org/wikipedia/en/thumb/2/2c/Judge_Dredd_promo_poster.jpg/220px-Judge_Dredd_promo_poster.jpg,"William Wisher, Jr.
Steven E. de Souza","Michael De Luca
William Wisher, Jr.","Judge Dredd
by John Wagner
and Carlos Ezquerra","Hollywood Pictures
Cinergi Pictures
Edward R. Pressman Film"
2/14/2008,Jumper,"$82,500,000","$80,172,128","$222,640,812",6.1,"257,367",Action Adventure Sci-Fi Thriller,http://www.imdb.com/title/tt0489099/,Doug Liman,"Simon Kinberg
Lucas Foster
Jay Sanders
Stacy Maes",NA,"Hayden Christensen
Jamie Bell
Rachel Bilson
AnnaSophia Robb
Max Thieriot
Diane Lane
Michael Rooker
Samuel L. Jackson",John Powell,Barry Peterson,"Saar Klein
Don Zimmerman","Regency Enterprises
New Regency Productions",20th Century Fox,"February 14, 2008 (2008-02-14)",88 minutes[1],United States,English,$85 million[2],$222.2 million[3],https://en.wikipedia.org/wiki/Jumper_%282008_film%29,//upload.wikimedia.org/wikipedia/en/thumb/3/37/Jumperposter.jpg/215px-Jumperposter.jpg,"David S. Goyer
Jim Uhls
Simon Kinberg",Steven Gould,"Jumper
by Steven Gould",NA
2/6/2015,Jupiter Ascending,"$179,000,000","$47,482,519","$181,982,519",5.3,"154,255",Action Adventure Sci-Fi,http://www.imdb.com/title/tt1617661/,"Andy Wachowski
Lana Wachowski","Grant Hill
Andy Wachowski
Lana Wachowski","Andy Wachowski
Lana Wachowski","Channing Tatum
Mila Kunis
Sean Bean
Eddie Redmayne
Douglas Booth",Michael Giacchino,John Toll,Alexander Berner,"Village Roadshow Pictures
RatPac-Dune Entertainment
Anarchos Productions","Warner Bros. Pictures
Roadshow Entertainment(Australia & New Zealand)[1]","January 27, 2015 (2015-01-27) (Sundance Film Festival)
February 6, 2015 (2015-02-06) (United States)
February 19, 2015 (2015-02-19) (Australia)",127 minutes[2],"United States
Australia",English,$176 million[3],$184 million[3],https://en.wikipedia.org/wiki/Jupiter_Ascending,//upload.wikimedia.org/wikipedia/en/thumb/7/76/%27Jupiter_Ascending%27_Theatrical_Poster.jpg/220px-%27Jupiter_Ascending%27_Theatrical_Poster.jpg,NA,NA,NA,NA
7/18/2001,Jurassic Park III,"$93,000,000","$181,166,115","$365,900,000",5.9,"240,819",Action Adventure Sci-Fi Thriller,http://www.imdb.com/title/tt0163025/,Joe Johnston,"Kathleen Kennedy
Larry J. Franco","Peter Buchman
Alexander Payne
Jim Taylor","Sam Neill
William H. Macy
Téa Leoni
Alessandro Nivola
Trevor Morgan
Michael Jeter","Don Davis
(Jurassic Park themes composed by John Williams)",Shelly Johnson,Robert Dalva,Amblin Entertainment,Universal Pictures,"July 16, 2001 (2001-07-16) (Universal Amphitheatre)
July 18, 2001 (2001-07-18) (United States)",92 minutes[1],United States,English,$93 million[2],$368.8 million[2],https://en.wikipedia.org/wiki/Jurassic_Park_III,//upload.wikimedia.org/wikipedia/en/thumb/6/6d/Jurassic_Park_III_poster.jpg/220px-Jurassic_Park_III_poster.jpg,NA,NA,"Characters
by Michael Crichton",NA
6/12/2015,Jurassic World,"$215,000,000","$652,198,010","$1,671,640,593",7.0,"471,906",Action Adventure Sci-Fi,http://www.imdb.com/title/tt0369610/,Colin Trevorrow,"Frank Marshall
Patrick Crowley",NA,"Chris Pratt
Bryce Dallas Howard
Vincent D'Onofrio
Ty Simpkins
Nick Robinson
Omar Sy
B. D. Wong
Irrfan Khan",Michael Giacchino,John Schwartzman,Kevin Stitt,NA,Universal Pictures[1],"May 29, 2015 (2015-05-29) (Le Grand Rex)
June 12, 2015 (2015-06-12) (United States)",124 minutes[2],United States,English,"$150 million (gross)[3]
$129.3 million (net)[4]",$1.672 billion[3],https://en.wikipedia.org/wiki/Jurassic_World,//upload.wikimedia.org/wikipedia/en/6/6e/Jurassic_World_poster.jpg,"Derek Connolly
Colin Trevorrow
Rick Jaffa
Amanda Silver","Rick Jaffa
Amanda Silver","Characters
by Michael Crichton","Amblin Entertainment[1]
Legendary Pictures[1]"
2/11/2011,Just Go With It,"$80,000,000","$103,028,109","$214,974,953",6.4,"186,564",Comedy Romance,http://www.imdb.com/title/tt1564367/,Dennis Dugan,"Adam Sandler
Jack Giarraputo
Heather Parry",NA,"Adam Sandler
Jennifer Aniston
Nick Swardson
Brooklyn Decker
Dave Matthews
Bailee Madison
Nicole Kidman",Rupert Gregson-Williams,Theo van de Sande,Tom Costain,Happy Madison Productions,Columbia Pictures,"February 8, 2011 (2011-02-08) (New York City)
February 11, 2011 (2011-02-11) (United States)",117 minutes,United States,English,$80 million[1],$215 million[2],https://en.wikipedia.org/wiki/Just_Go_with_It,//upload.wikimedia.org/wikipedia/en/thumb/b/b8/Just_Go_with_It_Poster.jpg/220px-Just_Go_with_It_Poster.jpg,"Allan Loeb
Timothy Dowling",NA,"Cactus Flower
by I. A. L. Diamond Cactus Flower
by Abe Burrows
Pierre Barillet
Jean Pierre-Gredy",NA
7/19/2002,K-19: The Widowmaker,"$90,000,000","$35,168,966","$65,716,126",6.7,"52,204",Drama History Thriller War,http://www.imdb.com/title/tt0267626/,Kathryn Bigelow,"Kathryn Bigelow
Edward S. Feldman
Sigurjón Sighvatsson
Christine Whitaker
Matthias Deyle",NA,"Harrison Ford
Liam Neeson
Peter Sarsgaard",Klaus Badelt,Jeff Cronenweth,Walter Murch,"Intermedia Films
National Geographic Society
New Regency Pictures","New Films International
Paramount Pictures (US)
Constantin Film (Germany)
UIP (UK)","July 19, 2002 (2002-07-19) (United States)
September 5, 2002 (2002-09-05) (Germany)
October 25, 2002 (2002-10-25) (United Kingdom)",138 minutes[1],"United States
United Kingdom
Germany
Canada","English
Russian",$90 million[2],$65.7 million[3],https://en.wikipedia.org/wiki/K-19:_The_Widowmaker,//upload.wikimedia.org/wikipedia/en/thumb/7/75/K_nineteen_the_widowmaker_ver2.jpg/220px-K_nineteen_the_widowmaker_ver2.jpg,Christopher Kyle,Louis Nowra,NA,NA
7/7/2004,King Arthur,"$90,000,000","$51,877,963","$203,877,963",6.3,"144,566",Action Adventure Drama History War,http://imdb.com/title/tt0349683/,Antoine Fuqua,Jerry Bruckheimer,David Franzoni,Clive OwenKeira KnightleyIoan GruffuddStephen DillaneStellan SkarsgårdRay WinstoneHugh DancyTil SchweigerMads Mikkelsen,Hans Zimmer,Slawomir Idziak,"Conrad Buff
Jamie Pearson","Touchstone Pictures
Jerry Bruckheimer Films
World 2000 Entertainment
Green Hills Productions",Buena Vista Pictures,"July 7, 2004 (2004-07-07)","126 minutes
142 minutes (Director's cut)","United States
United Kingdom
Ireland",EnglishScottish Gaelic,$120 million,$203.6 million,https://en.wikipedia.org/wiki/King_Arthur_(2004_film),//upload.wikimedia.org/wikipedia/en/thumb/5/59/Movie_poster_king_arthur.jpg/220px-Movie_poster_king_arthur.jpg,NA,NA,NA,NA
5/12/2017,King Arthur: Legend of the Sword,"$175,000,000","$39,175,066","$140,012,608",6.9,"119,260",Action Adventure Drama Fantasy,http://www.imdb.com/title/tt1972591/,Guy Ritchie,"Akiva Goldsman
Joby Harold
Tory Tunnell
Steve Clark-Hall
Guy Ritchie
Lionel Wigram",NA,"Charlie Hunnam
Àstrid Bergès-Frisbey
Djimon Hounsou
Aidan Gillen
Jude Law
Eric Bana",Daniel Pemberton,John Mathieson,James Herbert,NA,Warner Bros. Pictures,"May 8, 2017 (2017-05-08) (TCL Chinese Theatre)
May 12, 2017 (2017-05-12) (United States)
May 19, 2017 (2017-05-19) (United Kingdom)",126 minutes[2],"United States[3]
Australia[3]
United Kingdom[3]",English,$175 million[4],$148.7 million[5],https://en.wikipedia.org/wiki/King_Arthur:_Legend_of_the_Sword,//upload.wikimedia.org/wikipedia/en/a/a4/King_Arthur_LotS_poster.jpg,"Joby Harold
Guy Ritchie
Lionel Wigram","David Dobkin
Joby Harold",NA,"Warner Bros. Pictures[1]
Safehouse Pictures[1]
Ritchie/Wigram Productions[1]
Village Roadshow Pictures[1]
Weed Road Pictures[1]"
12/14/2005,King Kong,"$207,000,000","$218,080,025","$550,517,357",7.2,"342,087",Action Adventure Drama Romance,http://www.imdb.com/title/tt0360717/,Peter Jackson,"Jan Blenkin
Carolynne Cunningham
Fran Walsh
Peter Jackson",NA,"Naomi Watts
Jack Black
Adrien Brody
Thomas Kretschmann
Colin Hanks
Jamie Bell
Evan Parke
Andy Serkis
Kyle Chandler",James Newton Howard,Andrew Lesnie,Jamie Selkirk,WingNut Films,Universal Pictures,"December 5, 2005 (2005-12-05) (New York City)
December 13, 2005 (2005-12-13) (New Zealand)
December 14, 2005 (2005-12-14) (United States)",187 minutes [1],"New Zealand
United States",English,$207 million[2],$550.5 million[2],https://en.wikipedia.org/wiki/King_Kong_(2005_film),//upload.wikimedia.org/wikipedia/en/thumb/6/6a/Kingkong_bigfinal1.jpg/220px-Kingkong_bigfinal1.jpg,"Fran Walsh
Philippa Boyens
Peter Jackson",NA,"King Kong
by Merian C. CooperEdgar Wallace",NA
5/6/2005,Kingdom of Heaven,"$110,000,000","$47,398,413","$218,853,353",7.2,"233,719",Action Adventure Drama History War,http://www.imdb.com/title/tt0320661/,Ridley Scott,Ridley Scott,William Monahan,"Orlando Bloom
Eva Green
Ghassan Massoud
Jeremy Irons
David Thewlis
Brendan Gleeson
Iain Glen
Marton Csokas
Liam Neeson
Edward Norton
Velibor Topic",Harry Gregson-Williams,John Mathieson,Dody Dorn,"Scott Free Productions
Inside Track
Studio Babelsberg Motion Pictures GmbH[1]",20th Century Fox,"2 May 2005 (2005-05-02) (London premiere)
5 May 2005 (2005-05-05) (Germany)
6 May 2005 (2005-05-06) (United States, United Kingdom)","144 minutes[2]
194 minutes (Director's cut)","United Kingdom[3]
Germany
United States","English
Arabic
Italian
Latin",$130 million[4],$211.7 million[4],https://en.wikipedia.org/wiki/Kingdom_of_Heaven_%28film%29,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/KoHposter.jpg/220px-KoHposter.jpg,NA,NA,NA,NA
9/22/2017,Kingsman: The Golden Circle,"$104,000,000","$97,774,506","$378,005,657",7.2,"68,306",Action Adventure Comedy,http://www.imdb.com/title/tt4649466/,Matthew Vaughn,"Matthew Vaughn
David Reid
Mark D. W.",NA,"Colin Firth
Julianne Moore
Taron Egerton
Mark Strong
Halle Berry
Elton John
Channing Tatum
Jeff Bridges","Henry Jackman
Matthew Margeson",George Richmond,Eddie Hamilton,"TSG Entertainment
Marv Films
Cloudy Productions",20th Century Fox,"18 September 2017 (2017-09-18) (London)
20 September 2017 (2017-09-20) (United Kingdom)",141 minutes[1],"United Kingdom
United States",English,$104 million[2],$381.2 million[3],https://en.wikipedia.org/wiki/Kingsman:_The_Golden_Circle,NA,"Jane Goldman
Matthew Vaughn",NA,"Kingsman
by Mark MillarDave Gibbons",NA
2/13/2015,Kingsman: The Secret Service,"$94,000,000","$128,261,724","$404,561,724",7.7,"476,406",Action Adventure Comedy Thriller,http://www.imdb.com/title/tt2802144/,Matthew Vaughn,"Matthew Vaughn
David Reid
Adam Bohling",NA,"Colin Firth
Samuel L. Jackson
Mark Strong
Taron Egerton
Michael Caine","Henry Jackman
Matthew Margeson",George Richmond,"Eddie Hamilton
Jon Harris",NA,20th Century Fox,"13 December 2014 (2014-12-13) (Butt-Numb-A-Thon)
29 January 2015 (2015-01-29) (United Kingdom)",129 minutes[1],"United Kingdom
United States[2]",English,"$94 million (gross)[3]
$81 million (net)[4]",$414.4 million[4],https://en.wikipedia.org/wiki/Kingsman:_The_Secret_Service,//upload.wikimedia.org/wikipedia/en/thumb/8/8b/Kingsman_The_Secret_Service_poster.jpg/220px-Kingsman_The_Secret_Service_poster.jpg,"Jane Goldman
Matthew Vaughn",NA,"Kingsman
by Mark MillarDave Gibbons","Marv Films
Cloudy Productions
Shangri-La Entertainment
TSG Entertainment"
6/23/2010,Knight and Day,"$117,000,000","$76,423,035","$258,751,370",6.3,"158,352",Action Comedy Romance,http://www.imdb.com/title/tt01013743/,James Mangold,"Cathy Konrad
Todd Garner
Steve Pink",Patrick O'Neill,"Tom Cruise
Cameron Diaz
Peter Sarsgaard
Viola Davis
Jordi Mollà
Paul Dano",John Powell,Phedon Papamichael,"Quincy Z. Gunderson
Michael McCusker","Regency Enterprises
Dune Entertainment
Media Rights Capital",20th Century Fox,"June 16, 2010 (2010-06-16) (Seville)
June 23, 2010 (2010-06-23) (United States)",110 minutes,United States,English,$117 million[1],$261.9 million[1],https://en.wikipedia.org/wiki/Knight_and_Day,//upload.wikimedia.org/wikipedia/en/thumb/5/51/Knight_and_day_09.jpg/220px-Knight_and_day_09.jpg,NA,NA,NA,NA
3/10/2017,Kong: Skull Island,"$185,000,000","$168,052,812","$561,137,727",6.7,"170,368",Action Adventure Fantasy Sci-Fi,http://www.imdb.com/title/tt3731562/,Jordan Vogt-Roberts,"Thomas Tull
Mary Parent
Jon Jashni
Alex Garcia",NA,"Tom Hiddleston
Samuel L. Jackson
John Goodman
Brie Larson
Jing Tian
Toby Kebbell
John Ortiz
Corey Hawkins
Jason Mitchell
Shea Whigham
Thomas Mann
Terry Notary
John C. Reilly",Henry Jackman,Larry Fong,Richard Pearson,"Legendary Pictures
Tencent Pictures",Warner Bros. Pictures,"February 28, 2017 (2017-02-28) (Odeon Leicester Square)
March 10, 2017 (2017-03-10) (United States)",118 minutes[1],United States,English,$185 million[2],$566.6 million[3],https://en.wikipedia.org/wiki/Kong:_Skull_Island,//upload.wikimedia.org/wikipedia/en/3/34/Kong_Skull_Island_poster.jpg,"Dan Gilroy
Max Borenstein
Derek Connolly",John Gatins,"King Kong
by Merian C. CooperEdgar Wallace",NA
5/26/2011,Kung Fu Panda 2,"$150,000,000","$165,249,063","$664,837,547",7.3,"204,248",Animation Action Adventure Comedy Family,http://www.imdb.com/title/tt1302011/,Jennifer Yuh Nelson,Melissa Cobb,NA,"Jack Black
Angelina Jolie
Dustin Hoffman
Gary Oldman
Seth Rogen
Lucy Liu
David Cross
James Hong
Michelle Yeoh
Jackie Chan",Hans ZimmerJohn Powell,NA,Clare Knight,DreamWorks Animation,Paramount Pictures1,"May 22, 2011 (2011-05-22) (Hollywood premiere)
May 26, 2011 (2011-05-26) (United States)",90 minutes,United States,English,$150 million[1],$665.7 million[2],https://en.wikipedia.org/wiki/Kung_Fu_Panda_2,//upload.wikimedia.org/wikipedia/en/thumb/b/b1/Kung_Fu_Panda_2_Poster.jpg/220px-Kung_Fu_Panda_2_Poster.jpg,"Jonathan Aibel
Glenn Berger",NA,"Characters created
by Ethan Reiff
Cyrus Voris",NA
6/6/2008,Kung Fu Panda,"$130,000,000","$215,434,591","$631,910,531",7.6,"341,033",Animation Action Adventure Comedy Family,http://www.imdb.com/title/tt0441773/,John StevensonMark Osborne,Melissa Cobb,NA,Jack BlackDustin HoffmanAngelina JolieIan McShaneSeth RogenLucy LiuDavid CrossRandall Duk KimJames HongJackie Chan,Hans ZimmerJohn Powell,Yong Duk Jhun,Clare Knight,DreamWorks Animation,Paramount Pictures1,"May 15, 2008 (2008-05-15) (Cannes Film Festival)
June 6, 2008 (2008-06-06) (United States)",92 minutes,United States,English,$130 million,$631.7 million,https://en.wikipedia.org/wiki/Kung_Fu_Panda,//upload.wikimedia.org/wikipedia/en/thumb/7/76/Kungfupanda.jpg/220px-Kungfupanda.jpg,Jonathan AibelGlenn Berger,Ethan ReiffCyrus Voris,NA,NA
1/29/2016,Kung Fu Panda 3,"$140,000,000","$143,528,619","$518,614,383",7.1,"96,284",Animation Action Adventure Comedy Family Fantasy,http://www.imdb.com/title/tt2267968/,"Jennifer Yuh Nelson
Alessandro Carloni",Melissa Cobb,NA,"Jack Black
Bryan Cranston
Dustin Hoffman
Angelina Jolie
J. K. Simmons
Lucy Liu
Seth Rogen
David Cross
James Hong
Kate Hudson
Randall Duk Kim
Jackie Chan",Hans Zimmer[1],NA,Clare Knight,NA,20th Century Fox,"January 16, 2016 (2016-01-16) (Los Angeles)[2]
January 23, 2016 (2016-01-23) (China)
January 29, 2016 (2016-01-29) (United States)",95 minutes[3],"United States
China","English
Chinese[4]",$145 million[5],$521.2 million[6],https://en.wikipedia.org/wiki/Kung_Fu_Panda_3,//upload.wikimedia.org/wikipedia/en/thumb/e/e6/Kung_Fu_Panda_3_poster.jpg/220px-Kung_Fu_Panda_3_poster.jpg,"Jonathan Aibel
Glenn Berger",NA,"Characters created
by Ethan Reiff
Cyrus Voris","DreamWorks Animation
Oriental DreamWorks"
6/5/2009,Land of the Lost,"$100,000,000","$49,438,370","$69,548,641",5.4,"55,004",Adventure Comedy Sci-Fi,http://www.imdb.com/title/tt0457400/,Brad Silberling,"Sid and Marty Krofft
Jimmy Miller",NA,Will FerrellAnna FrielDanny McBrideJorma Taccone,Michael Giacchino,Dion Beebe,Peter Teschner,Relativity MediaSid & Marty Krofft PicturesMosaic Media Group,Universal Pictures,"June 5, 2009 (2009-06-05)",102 minutes[1],United States,English,$100 million[2],$68.8 million[3],https://en.wikipedia.org/wiki/Land_of_the_Lost_(film),//upload.wikimedia.org/wikipedia/en/thumb/9/99/Land_of_the_Lost_poster.jpg/215px-Land_of_the_Lost_poster.jpg,"Chris Henchy
Dennis McNicholas",NA,"Land of the Lost
by Sid and Marty Krofft, Allan Foshko and David Gerrold",NA
6/15/2001,Lara Croft: Tomb Raider,"$94,000,000","$131,144,183","$273,330,185",5.8,"168,642",Action Adventure Fantasy Thriller,http://www.imdb.com/title/tt0146316/,Simon West,"Lawrence Gordon
Lloyd Levin
Colin Wilson",NA,"Angelina Jolie
Jon Voight
Daniel Craig
Iain Glen
Noah Taylor
Chris Barrie",Graeme Revell,Peter Menzies Jr.,"Dallas Puett
Glen Scantlebury
Eric Strand
Mark Warner","Mutual Film Company
BBC Films
Lawrence Gordon Productions
Marubeni Corporation
Eidos Entertainment
KFP Produktions GmbH & Co. KG
Tele München Gruppe
Toho-Towa",Paramount Pictures,"June 11, 2001 (2001-06-11) (premiere)
June 15, 2001 (2001-06-15) (United States)
June 28, 2001 (2001-06-28) (Germany)
July 6, 2001 (2001-07-06) (United Kingdom)
October 6, 2001 (2001-10-06) (Japan)",100 minutes,"United States
United Kingdom
Germany
Japan[1]",English,$115 million[2],$274.7 million[2],https://en.wikipedia.org/wiki/Lara_Croft:_Tomb_Raider,//upload.wikimedia.org/wikipedia/en/thumb/9/98/Lara_Croft_film.jpg/220px-Lara_Croft_film.jpg,"Patrick Massett
John Zinman","Sara B. Cooper
Mike Werb
Michael Colleary
Simon West","Tomb Raider
by Core Design",NA
7/25/2003,Lara Croft: Tomb Raider: The Cradle of Life,"$90,000,000","$65,653,758","$157,092,943",5.5,"110,666",Action Adventure Fantasy,http://www.imdb.com/title/tt0325703/,Jan de Bont,"Lloyd Levin
Lawrence Gordon",NA,"Angelina Jolie
Gerard Butler
Noah Taylor
Ciarán Hinds
Djimon Hounsou
Til Schweiger
Simon Yam
Christopher Barrie",Alan Silvestri,David Tattersall,Michael Kahn,"Mutual Film Company
BBC Films
Lawrence Gordon Productions
Eidos Entertainment
Tele München Gruppe
Toho-Towa
October Pictures",Paramount Pictures,"July 21, 2003 (2003-07-21) (premiere)
July 25, 2003 (2003-07-25) (United States)
August 14, 2003 (2003-08-14) (Germany)
August 22, 2003 (2003-08-22) (United Kingdom)
September 20, 2003 (2003-09-20) (Japan)",110 minutes[1],"United States
United Kingdom
Germany
Japan[2]","English
Mandarin",$95 million[1],$156.5 million[1],https://en.wikipedia.org/wiki/Lara_Croft_Tomb_Raider:_The_Cradle_of_Life,//upload.wikimedia.org/wikipedia/en/2/2e/Lara_Croft_Tomb_Raider_-_The_Cradle_of_Life_Poster.png,Dean Georgaris,"Steven E. de Souza
James V. Hart","Tomb Raider
by Core Design",NA
6/18/1993,Last Action Hero,"$85,000,000","$50,016,394","$137,298,489",6.3,"114,999",Action Adventure Comedy Fantasy,http://www.imdb.com/title/tt0107362/,John McTiernan,"John McTiernan
Steve Roth",NA,"Arnold Schwarzenegger
F. Murray Abraham
Art Carney
Charles Dance
Frank McRae
Tom Noonan
Robert Prosky
Anthony Quinn
Mercedes Ruehl
Austin O'Brien",Michael Kamen,Dean Semler,"Richard A. Harris
John Wright",NA,Columbia Pictures[1],"June 18, 1993 (1993-06-18)",131 minutes,United States,English,$85 million,$137.3 million,https://en.wikipedia.org/wiki/Last_Action_Hero,//upload.wikimedia.org/wikipedia/en/thumb/0/0e/Last_action_hero_ver2.jpg/220px-Last_action_hero_ver2.jpg,"Shane Black
David Arnott
William Goldman (uncredited)","Zak Penn
Adam Leff",NA,NA
